T,episode,steps,reward,energy_cost,torque_violations
0.25,1,50,-12.702897050680871,0.7088520794008759,0
0.25,2,50,-6.143444210461315,0.1454712728067781,0
0.25,3,50,-13.811875188937845,0.8586461019615811,0
0.25,4,50,-6.4773134389589595,0.2879201651983593,0
0.25,5,50,-2.0777365094038176,0.018012908113777253,0
0.25,6,50,-13.9672190169103,0.8271208860255276,0
0.25,7,50,-4.632069281402518,0.08548087056366817,0
0.25,8,50,-4.184676214736824,0.08278144457435507,0
0.25,9,50,-4.52448807247516,0.06290790873622365,0
0.25,10,50,-8.910507132291455,0.38427950553554807,0
