episode,steps,reward,energy_cost
1,31,-2.9187078820924808,0.07631630807336547
2,150,-3.7194459325006752,0.09159263181076427
3,41,-5.530557516233055,0.19619532709775123
4,34,-3.8662021864967744,0.1330125042190627
5,150,-5.562552097740122,0.16090658990161016
6,41,-3.2648673678502904,0.12063832869116457
7,150,-4.6030714679874185,0.17040213773970922
8,43,-2.4290217856470795,0.1037583746502106
9,30,-3.5722749368191837,0.10952500970664983
10,43,-3.6846916405897607,0.12416967595714222
