episode,steps,reward,energy_cost
1,50,-3.786312612619946,0.05992680675871834
2,50,-4.139190053110606,0.0767688487602408
3,50,-6.447965409735889,0.20194443467594178
4,50,-5.596877180366821,0.065623139905742
5,50,-4.719305601306972,0.14011005246971975
6,50,-5.9291448967282285,0.040584339101595084
7,50,-5.544152784317699,0.15527344043813718
8,50,-6.302367780424085,0.08324490366016127
9,50,-4.111110417027254,0.08742866346890656
10,50,-5.877693109204269,0.05492591061173518
