episode,steps,reward,energy_cost
1,150,-5.010836924474051,0.07944451778816604
2,150,-6.129984468192283,0.09879766207272192
3,77,-6.695461867616194,0.279357179786089
4,150,-10.324255669130665,0.18676075346792262
5,42,-4.265963792214092,0.16452277728436537
6,150,-11.871364743849886,0.18824643743163158
7,150,-8.08687545013238,0.22858929796894192
8,150,-5.226509642064837,0.09986508298421808
9,150,-6.8098368941499725,0.08600314195001858
10,150,-8.58027995360613,0.1757257809158154
